timestamp,message,logStreamName
1750362285903,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:45.903Z"",""caller"":""auth/main.go:2156"",""msg"":""WebAuthn login begin successful"",""username"":""aron"",""challenge"":""4k6tsryEr_8Qq_xI_Ruk1sf6PkUqKG-wX4F_-PeZpeM""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362285903,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:45.903Z"",""caller"":""auth/main.go:2162"",""msg"":""WebAuthn options structure"",""options"":""{\""publicKey\"":{\""challenge\"":\""4k6tsryEr_8Qq_xI_Ruk1sf6PkUqKG-wX4F_-PeZpeM\"",\""timeout\"":300000,\""rpId\"":\""lesser.host\"",\""allowCredentials\"":[{\""type\"":\""public-key\"",\""id\"":\""IxNIutdKN28ekhYoQ33AyAWJBJQ\""}]}}""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362285904,"END RequestId: 8fc5f547-eb29-4d4c-aa20-a09f8f4b779f
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362285905,"REPORT RequestId: 8fc5f547-eb29-4d4c-aa20-a09f8f4b779f	Duration: 10.91 ms	Billed Duration: 11 ms	Memory Size: 3008 MB	Max Memory Used: 48 MB	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290818,"START RequestId: a9708408-d485-4e80-821d-c662835d1fd5 Version: $LATEST
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290819,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.819Z"",""caller"":""auth/main.go:168"",""msg"":""OAuth request"",""raw_path"":""/lab/oauth/authorize"",""path"":""/oauth/authorize"",""method"":""POST"",""stage"":""lab"",""path_parameters"":null,""request_context_path"":""/lab/oauth/authorize""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290819,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.819Z"",""caller"":""auth/main.go:209"",""msg"":""raw authorize request details"",""query_params"":null,""raw_query_string"":"""",""raw_path"":""/lab/oauth/authorize""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290819,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.819Z"",""caller"":""auth/main.go:263"",""msg"":""processing POST request"",""content_type"":""application/x-www-form-urlencoded"",""is_base64"":true,""body"":""response_type=code&client_id=lesser-web&redirect_uri=https%3A%2F%2Flesser.host%2Fauth%2Fcallback&state=gvxs2l&code_challenge=&code_challenge_method=&scope=read+write+follow+push&username=aron&webauthn_response=%7B%22challenge%22%3A%224k6tsryEr_8Qq_xI_Ruk1sf6PkUqKG-wX4F_-PeZpeM%22%2C%22credential%22%3A%7B%22id%22%3A%22IxNIutdKN28ekhYoQ33AyAWJBJQ%22%2C%22rawId%22%3A%22IxNIutdKN28ekhYoQ33AyAWJBJQ%22%2C%22type%22%3A%22public-key%22%2C%22response%22%3A%7B%22clientDataJSON%22%3A%22eyJ0eXBlIjoid2ViYXV0aG4uZ2V0IiwiY2hhbGxlbmdlIjoiNGs2dHNyeUVyXzhRcV94SV9SdWsxc2Y2UGtVcUtHLXdYNEZfLVBlWnBlTSIsIm9yaWdpbiI6Imh0dHBzOi8vbGVzc2VyLmhvc3QiLCJjcm9zc09yaWdpbiI6ZmFsc2V9%22%2C%22authenticatorData%22%3A%22YiIFY95SbVVrHXlpIXUODRABkOVEMRxbjqbgcfwGh24dAAAAAA%22%2C%22signature%22%3A%22MEQCIErqpKFxVbcH-yoOd-jpAh3JPKTn2mbnpjQucCHTbHH0AiBtpXFU1EXbz1aGT3hj2QYv7-1QCB_jhBhk5nfVzrF64w%22%2C%22userHandle%22%3A%22YXJvbg%22%7D%7D%7D""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290819,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.819Z"",""caller"":""auth/main.go:296"",""msg"":""handling WebAuthn authentication"",""username"":""aron""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290819,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.819Z"",""caller"":""auth/main.go:443"",""msg"":""validating WebAuthn credentials"",""username"":""aron""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290840,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.839Z"",""caller"":""auth/main.go:478"",""msg"":""WebAuthn authentication successful"",""username"":""aron""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290840,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.839Z"",""caller"":""auth/main.go:335"",""msg"":""login successful, completing authorization"",""username"":""aron"",""client_id"":""lesser-web""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290840,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.840Z"",""caller"":""auth/main.go:486"",""msg"":""starting authorization completion"",""username"":""aron"",""client_id"":""lesser-web""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290840,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.840Z"",""caller"":""auth/main.go:497"",""msg"":""generating authorization code""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290840,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.840Z"",""caller"":""auth/main.go:503"",""msg"":""authorization code generated"",""code"":""EFxxAemnHe1V3g62gbd2oRzihhVLDb5WyaFATsvUaqs=""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290840,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.840Z"",""caller"":""auth/main.go:515"",""msg"":""storing authorization code in DynamoDB""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290844,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.844Z"",""caller"":""auth/main.go:520"",""msg"":""authorization code stored successfully""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290845,"{""level"":""info"",""timestamp"":""2025-06-19T19:44:50.844Z"",""caller"":""auth/main.go:531"",""msg"":""redirecting with authorization code"",""redirect_url"":""https://lesser.host/auth/callback?code=EFxxAemnHe1V3g62gbd2oRzihhVLDb5WyaFATsvUaqs%3D&state=gvxs2l""}
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290846,"END RequestId: a9708408-d485-4e80-821d-c662835d1fd5
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
1750362290846,"REPORT RequestId: a9708408-d485-4e80-821d-c662835d1fd5	Duration: 27.14 ms	Billed Duration: 28 ms	Memory Size: 3008 MB	Max Memory Used: 50 MB	
",2025/06/19/[$LATEST]c5fcdeced13644f3886c97d4e2671571
